playlist_name,tvg_id,status,future_horizon_hours,last_programme_utc,programme_count
LRT Plius HD,Xlrt-kultura,OK,94.92,2026-09-06T20:45:00+00:00,289
Balticum TV HD,Xbalticum-tv,OK,93.17,2026-09-06T19:00:00+00:00,204
Balticum Platinum HD,Xbalticum-platinum,OK,93.17,2026-09-06T19:00:00+00:00,196
Balticum Auksinis HD,Xbalticum-auksinis,OK,93.17,2026-09-06T19:00:00+00:00,103
Info TV HD,Xinfo-tv,OK,95.17,2026-09-06T21:00:00+00:00,276
Delfi TV HD,Xdelfi-tv,OK,93.33,2026-09-06T19:10:00+00:00,316
Viasat Kino World HD,Xtv1000-premium,OK,95.83,2026-09-06T21:40:00+00:00,112
Filmzone Plus HD,Xfilmzone-lt,OK,92.17,2026-09-06T18:00:00+00:00,122
Filmzone HD,Xfilmzone-lt,OK,92.17,2026-09-06T18:00:00+00:00,122
Epic Drama,Xepik-drama,OK,100.25,2026-09-07T02:05:00+00:00,194
Go3 Films HD,Xtv1000-premium,OK,95.83,2026-09-06T21:40:00+00:00,112
Kidzone Max HD,Xkidzone,OK,98.17,2026-09-07T00:00:00+00:00,574
Sport 1 HD,X18e7a585715561d4bb2606977deb20f6,OK,78.17,2026-09-06T04:00:00+00:00,99
