playlist_name,group,source,source_id,output_tvg_id,now,next,verified_binding_ok,binding_rule
Иллюзион +,Кино,iptv-online-primary,Xilluzion-plus,Xilluzion-plus,,,,
Мужское кино,Кино,iptv-online-primary,Xmuzhskoe-kino,Xmuzhskoe-kino,,,,
Наше новое кино,Кино,iptv-online-primary,Xnashe-novoe-kino,Xnashe-novoe-kino,,,,
Trash TV,Кино,iptv-online-primary,Xtrashtv,Xtrashtv,,,,
Победа,Кино,iptv-online-primary,Xpobeda,Xpobeda,,,,
День Победы HD,Кино,iptv-online-primary,Xdenpobedy,Xdenpobedy,,,,
Комедия,Кино,iptv-online-primary,Xrusskaya-komedia,Xrusskaya-komedia,,,,
Русский бестселлер,Кино,iptv-online-primary,Xrussky-bestseller,Xrussky-bestseller,,,,
Русский детектив,Кино,iptv-online-primary,Xrussky-detektiv,Xrussky-detektiv,,,,
Киномикс,Кино,iptv-online-primary,Xkinomiks,Xkinomiks,,,,
Киносерия,Кино,iptv-online-primary,Xkinoseria,Xkinoseria,,,,
Любимое кино HD,Кино,iptv-online-primary,Xlubimoe-kino,Xlubimoe-kino,,,,
Любимое кино,Кино,iptv-online-primary,Xlubimoe-kino,Xlubimoe-kino,,,,
Мир сериала,Кино,iptv-online-primary,Xmir-seriala,Xmir-seriala,,,,
Cinema,Кино,iptv-online-primary,Xcinema-ru,Xcinema-ru,,,,
Индия,Кино,iptv-online-primary,Xzee-tv,Xzee-tv,,,,
Индийское Кино,Кино,iptv-online-primary,Xindiyskoe-kino,Xindiyskoe-kino,,,,
Феникс+ Кино,Кино,iptv-online-primary,Xfeniks-plus-kino,Xfeniks-plus-kino,,,,
ТВ3,Кино,iptv-online-primary,Xtv3-ru,Xtv3-ru,,,,
НСТ,Кино,iptv-online-primary,Xnst,Xnst,,,,
Shot TV,Кино,iptv-online-primary,Xshot-tv,Xshot-tv,,,,
Russian Extreme Ultra HD,Кино,iptv-online-primary,Xrussian-extreme-uhd,Xrussian-extreme-uhd,,,,
ТСВ,Кино,iptv-online-primary,Xtcb,Xtcb,,,,
Apple TV+ Woman's Story,Кино,iptv-online-primary,Xmovify-kino,Xmovify-kino,,,,
Apple TV+ Action Time,Кино,iptv-online-primary,Xmovify-series,Xmovify-series,,,,
Amazon Prime Video Men's Club,Кино,iptv-online-primary,Xmovify-history,Xmovify-history,,,,
BCU Action HD,Кинозалы,iptv-online-primary,Xbcu-action,Xbcu-action,,,,
